cbg,pop
10010201001,745
10010201002,1265
10010202001,960
10010202002,1236
10010203001,2364
10010203002,772
10010204001,729
10010204002,2303
10010204003,978
10010204004,553
10010205001,1947
10010205002,7250
10010205003,1332
10010206001,3030
10010206002,712
10010207001,1653
10010207002,1394
10010208011,1073
10010208012,1952
10010208021,2949
10010208022,4161
10010208023,1576
10010208024,2057
10010209001,1085
10010209002,1107
10010209003,1789
10010209004,1931
10010210001,624
10010210002,2275
10010211001,2032
10010211002,507
10010211003,708
10030101001,407
10030101002,2116
10030101003,1490
10030102001,1843
10030102002,1224
10030103001,3025
10030103002,2749
10030103003,2305
10030104001,1082
10030104002,1380
10030104003,2116
10030105001,1613
10030105002,1222
10030105003,1443
10030105004,837
10030106001,1335
10030106002,683
10030106003,1485
10030107011,3565
10030107012,2572
10030107013,1062
10030107014,739
10030107031,8407
10030107032,8655
10030107041,2728
10030107042,3276
10030107051,5267
10030107052,1956
10030107053,2212
10030108001,2113
10030108002,2567
10030108003,3006
10030109031,1467
10030109032,2503
10030109033,1983
10030109041,2811
10030109042,1686
10030109043,2026
10030109051,2818
10030109052,3420
10030109053,1817
10030109061,2638
10030109062,1272
10030109063,1362
10030110001,1659
10030110002,2226
10030111011,3284
10030111012,2175
10030111013,4226
10030111021,2413
10030111022,2165
10030112011,3011
10030112012,2012
10030112021,1392
10030112022,1402
10030112023,2476
10030112024,815
10030113001,932
10030113002,1636
10030113003,1213
10030113004,840
10030114011,2714
10030114012,879
10030114013,2012
10030114014,2523
10030114015,1893
10030114031,2331
10030114032,3534
10030114033,4068
10030114051,2351
10030114052,1727
10030114061,906
10030114062,980
10030114063,1924
10030114071,2312
10030114072,976
10030114073,1682
10030114081,719
10030115011,2716
10030115012,904
10030115013,2327
10030115021,4814
10030115022,1442
10030115023,2705
10030115024,2614
10030116011,1126
10030116012,3153
10030116013,933
10030116014,1428
10030116021,1367
10030116022,1621
10030116023,843
10030116024,1826
10039900000,0
10059501001,425
