county,pop
01001,55049
01003,199510
01005,26614
01007,22572
01009,57704
01011,10552
01013,20280
01015,115883
01017,34018
01019,25897
01021,43817
01023,13287
01025,24847
01027,13483
01029,14991
01031,50991
01033,54377
01035,12697
01037,10864
01039,37729
01041,13896
01043,81316
01045,49607
01047,41426
01049,70937
01051,80957
01053,37875
01055,103363
01057,16783
01059,31573
01061,26765
01063,8587
01065,15159
01067,17187
01069,103891
01071,52608
01073,659096
01075,14066
01077,92641
01079,33433
01081,153947
01083,90257
01085,10565
01087,19684
01089,349973
01091,20066
01093,30239
01095,94534
01097,414291
01099,21975
01101,227392
01103,119555
01105,9856
01107,20042
01109,33277
01111,22615
01113,58636
01115,86576
01117,205951
01119,13285
01121,81057
01123,40958
01125,202471
01127,65593
01129,16909
01131,11119
01133,24013
02013,3299
02016,5714
02020,299321
02050,17885
02060,942
02068,2125
02070,4980
02090,100150
02100,2528
02105,2107
02110,32524
02122,57637
02130,13715
02150,13918
02158,7993
02164,1411
02170,98679
02180,9879
02185,9681
02188,7723
02195,3196
02198,6374
02220,8921
02230,1014
02240,6970
02261,9522
02275,2401
02282,646
02290,5600
04001,72346
04003,128177
04005,138064
04007,53179
04009,37529
04011,9224
04012,20304
04013,4088549
04015,203629
04017,108209
04019,1003338
04021,397604
04023,46547
04025,218586
04027,203292
05001,18569
05003,20989
05005,40992
05007,245231
05009,37301
05011,11096
05013,5210
05015,27690
05017,11189
05019,22684
05021,15202
05023,25587
05025,8421
05027,24168
05029,21060
05031,102884
05033,61927
05035,49511
05037,17329
05039,7738
05041,12234
05043,18688
05045,120417
05047,17799
05049,12186
05051,97119
05053,18046
05055,43745
05057,22208
05059,33440
05061,13487
05063,37030
05065,13461
05067,17495
05069,72385
05071,26025
05073,7127
05075,16915
05077,9781
05079,13935
05081,12616
05083,21935
05085,71279
05087,15761
05089,16404
05091,43666
05093,44199
05095,7542
05097,9100
05099,8668
05101,7988
05103,24728
05105,10246
05107,19929
05109,11017
05111,24131
05113,20290
05115,63107
05117,8334
05119,391806
05121,17584
05123,27023
05125,115577
05127,10661
05129,7938
05131,127351
05133,17193
05135,17027
05137,12503
05139,40334
05141,16892
05143,219930
05145,78823
05147,6873
05149,21716
06001,1605217
06003,1184
06005,36963
06007,223877
06009,44787
06011,21361
06013,1107925
06015,27628
06017,183000
06019,963160
06021,27976
06023,135182
06025,178807
06027,18326
06029,871337
06031,150261
06033,64076
06035,31945
06037,10057155
06039,153366
06041,259358
06043,17645
06045,87409
06047,265001
06049,9033
06051,14051
06053,430201
06055,140823
06057,98639
06059,3132211
06061,370571
06063,18754
06065,2323892
06067,1479300
06069,58051
06071,2106754
06073,3253356
06075,850282
06077,714860
06079,278680
06081,754748
06083,439395
06085,1885056
06087,270931
06089,179228
06091,2931
06093,43668
06095,429596
06097,497776
06099,530561
06101,95406
06103,63015
06105,13180
06107,455769
06109,53864
06111,843110
06113,209671
06115,73897
08001,479977
08003,16353
08005,617668
08007,12355
08009,3648
08011,5816
08013,313961
08014,62449
08015,18507
08017,2071
08019,9238
08021,8213
08023,3590
08025,5537
08027,4375
08029,30221
08031,663303
08033,1789
08035,314238
08037,52894
08039,24225
08041,665171
08043,46835
08045,57495
08047,5708
08049,14490
08051,15889
08053,856
08055,6521
08057,1306
08059,558810
08061,1465
08063,8174
08065,7401
08067,53994
08069,325228
08071,14322
08073,5515
08075,21862
08077,148166
08079,793
08081,13034
08083,26006
08085,40866
08087,28288
08089,18440
08091,4651
08093,16440
08095,4347
08097,17543
08099,12121
08101,162158
08103,6658
08105,11623
08107,23980
08109,6255
08111,552
08113,7767
08115,2367
08117,29269
08119,23472
08121,4814
08123,278065
08125,10150
09001,941618
09003,895699
09005,185141
09007,164438
09009,860874
09011,272033
09013,151689
09015,117078
10001,171474
10003,551997
10005,211224
11001,659009
12001,256581
12003,27312
12005,178361
12007,26919
12009,560683
12011,1863780
12013,14550
12015,169642
12017,140453
12019,200346
12021,348236
12023,68198
12027,35134
12029,16084
12031,900890
12033,309574
12035,102917
12037,11705
12039,46153
12041,17033
12043,13420
12045,15851
12047,14362
12049,27302
12051,38376
12053,176797
12055,98862
12057,1323059
12059,19569
12061,145342
12063,48721
12065,14082
12067,8742
12069,317586
12071,680970
12073,284788
12075,39707
12077,8285
12079,18560
12081,353411
12083,340341
12085,153592
12086,2664418
12087,77150
12089,77187
12091,195798
12093,39420
12095,1256055
12097,311962
12099,1398757
12101,488310
12103,939548
12105,637691
12107,72304
12109,218362
12111,293136
12113,163903
12115,398011
12117,442905
12119,113589
12121,43653
12123,22582
12125,15159
12127,510806
12129,31314
12131,61528
12133,24627
13001,18410
13003,8268
13005,11251
13007,3250
13009,45808
13011,18336
13013,73340
13015,101942
13017,17405
13019,18986
13021,154194
13023,12835
13025,18403
13027,15645
13029,34104
13031,73141
13033,22838
13035,23479
13037,6443
13039,52092
13043,10962
13045,113756
13047,65645
13049,12968
13051,282613
13053,11882
13055,25046
13057,230629
13059,122037
13061,3068
13063,270269
13065,6814
13067,728388
13069,43042
13071,46002
13073,139904
13075,17103
13077,135625
13079,12483
13081,23061
13083,16356
13085,22939
13087,27237
13089,723902
13091,20995
13093,14089
13095,92326
13097,138283
13099,10480
13101,4025
13103,55852
13105,19394
13107,22723
13109,10733
13111,24017
13113,109495
13115,96199
13117,203841
13119,22188
13121,996757
13123,28956
13125,3053
13127,82623
13129,56079
13131,25145
13133,16535
13135,874242
13137,43724
13139,190482
13141,8747
13143,28667
13145,32992
13147,25518
13149,11571
13151,214171
13153,149137
13155,9365
13157,62131
13159,13571
13161,14953
13163,16201
13165,9055
13167,9694
13169,28701
13171,18195
13173,10382
13175,47802
13177,29134
13179,63949
13181,7712
13183,17243
13185,113898
13187,31094
13189,21558
13191,13941
13193,13846
13195,28362
13197,8646
13199,21195
13201,5911
13205,22778
13207,27044
13209,9005
13211,17943
13213,39358
13215,200303
13217,103901
13219,35071
13221,14743
13223,149830
13225,26907
13227,29992
13229,19030
13231,17843
13233,41263
13235,11460
13237,21259
13239,2095
13241,16312
13243,7224
13245,201418
13247,87569
13249,5089
13251,14114
13253,8696
13255,64006
13257,25584
13259,5791
13261,31070
13263,6373
13265,1904
13267,25260
13269,8354
13271,16405
13273,9132
13275,44977
13277,40691
13279,27160
13281,10976
13283,6711
13285,69314
13287,8151
13289,8363
13291,22033
13293,26394
13295,68143
13297,87436
13299,35671
13301,5504
13303,20680
13305,30006
13307,2672
13309,7932
13311,28140
13313,103653
13315,8884
13317,9924
13319,9312
13321,20988
15001,193680
15003,986999
15005,91
15007,70447
15009,162456
16001,425798
16003,3865
16005,83815
16007,5928
16009,9068
16011,45261
16013,21427
16015,6891
16017,41389
16019,108989
16021,11141
16023,2592
16025,968
16027,202782
16029,6813
16031,23441
16033,960
16035,8528
16037,4185
16039,26103
16041,13013
16043,12896
16045,16853
16047,15157
16049,16251
16051,27096
16053,22694
16055,147716
16057,38593
16059,7743
16061,3826
16063,5292
16065,38114
16067,20331
16069,39995
16071,4269
16073,11356
16075,22773
16077,7696
16079,12551
16081,10437
16083,80955
16085,9897
16087,10035
17001,66949
17003,7051
17005,17137
17007,53656
17009,6836
17011,33822
17013,4962
17015,14793
17017,13068
17019,206420
17021,33888
17023,16089
17025,13466
17027,37858
17029,52802
17031,5227575
17033,19441
17035,10890
17037,104458
17039,16322
17041,19770
17043,930514
17045,17828
17047,6612
17049,34356
17051,22025
17053,13758
17055,39503
17057,36047
17059,5325
17061,13390
17063,50338
17065,8251
17067,18633
17069,4173
